"","FamilyName","GivenName","HonorificPrefix","Age","PasClass_CrewDep","Ticket_Full_No","Fare__Old_Pounds","Fare__Old_Shillings","Fare__Old_Pennies","Fare_in_GBP","PortEmba","Job","Passenger_link","Pict_link","Pict_alt","Boat_Body","Passenger_status","FullName","Website_AgeNo"
"215","DORKING","Edward Arthur","Mr","18","3rd Class Passenger","10482",8,1,NA,8.05,"Southampton","Groom","https://www.encyclopedia-titanica.org/titanic-survivor/edward-arthur-dorking.html",NA,NA,"B","Victim","DORKING, Mr Edward Arthur
",18
"216","EDVARDSSON","Gustaf Hjalmar","Mr","18","3rd Class Passenger","349912",7,15,NA,7.75,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/gustaf-hjalmar-edvardsson.html","https://www.encyclopedia-titanica.org/files/1/thumbnails/photograph_of_gustaf_hjalmar_edvardsson_1_9977.jpg","G. Edvardsson",NA,"Victim","EDVARDSSON, Mr Gustaf Hjalmar
",18
"217","ERVINE","Albert George","Mr","18","Engineering Crew",NA,NA,NA,NA,NA,"Belfast","Assistant Electrician","https://www.encyclopedia-titanica.org/titanic-victim/albert-george-ervine.html","https://www.encyclopedia-titanica.org/files/1/albert-ervine.jpg","A. Ervine",NA,"Victim","ERVINE, Mr Albert George
",18
"218","FAHLSTRøM","Arne Joma","Mr","18","2nd Class Passenger","236171",13,NA,NA,13,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/arne-joma-fahlstrom.html",NA,NA,NA,"Victim","FAHLSTRøM, Mr Arne Joma
",18
"219","FILLBROOK","Joseph Charles","Mr","18","2nd Class Passenger","15185",10,10,NA,10.5,"Southampton","Painter & Decorator","https://www.encyclopedia-titanica.org/titanic-victim/joseph-charles-fillbrook.html",NA,NA,NA,"Victim","FILLBROOK, Mr Joseph Charles
",18
"220","FISCHER","Eberhard Thelander","Mr","18","3rd Class Passenger","350036",7,15,NA,7.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/eberhard-fischer.html",NA,NA,NA,"Victim","FISCHER, Mr Eberhard Thelander
",18
"221","FORD","Edward Watson","Mr","18","3rd Class Passenger","6608",34,7,NA,34.35,"Southampton","Blacksmith","https://www.encyclopedia-titanica.org/titanic-victim/edward-watson-ford.html",NA,NA,NA,"Victim","FORD, Mr Edward Watson
",18
"222","GLYNN","Mary Agatha","Miss","18","3rd Class Passenger","335677",7,15,NA,7.75,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-agatha-glynn.html","https://www.encyclopedia-titanica.org/images/glynn_thm.jpg","M. Glynn","13","Victim","GLYNN, Miss Mary Agatha
",18
"223","HANNA","Boulos","Mr","18","3rd Class Passenger","2664",7,4,NA,7.2,"Cherbourg","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/boulos-hanna.html",NA,NA,NA,"Victim","HANNA, Mr Boulos
",18
"224","HILTUNEN","Marta","Miss","18","2nd Class Passenger","250650",13,NA,NA,13,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/marta-hiltunen.html",NA,NA,NA,"Victim","HILTUNEN, Miss Marta
",18
"225","HOLTHEN","Johan Martin","Mr","18","3rd Class Passenger","4001",22,10,NA,22.5,"Southampton","Seaman","https://www.encyclopedia-titanica.org/titanic-victim/johan-martin-holthen.html",NA,NA,NA,"Victim","HOLTHEN, Mr Johan Martin
",18
"226","IBRaHiM","Safiyah","Mrs","18","3rd Class Passenger","2657",7,4,NA,7.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-sophie-abrahim.html",NA,NA,"C","Victim","IBRaHiM, Mrs Safiyah
",18
"227","KELLAND","Thomas","Mr","18","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","2nd class library steward","https://www.encyclopedia-titanica.org/titanic-victim/thomas-kelland.html",NA,NA,NA,"Victim","KELLAND, Mr Thomas
",18
"228","KING","Alfred John Moffett","Mr","18","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Lift Steward","https://www.encyclopedia-titanica.org/titanic-victim/alfred-king.html","https://www.encyclopedia-titanica.org/files/1/king_thm.jpg","A. King","[238]","Victim","KING, Mr Alfred John Moffett
",18
"229","KLASéN","Klas Albin","Mr","18","3rd Class Passenger","350404",7,17,NA,7.85,"Southampton","Farm Labourer","https://www.encyclopedia-titanica.org/titanic-victim/klas-albin-klasen.html",NA,NA,NA,"Victim","KLASéN, Mr Klas Albin
",18
"230","LEE","H.","Mr","18","Engineering Crew",NA,NA,NA,NA,NA,"Southampton","Trimmer","https://www.encyclopedia-titanica.org/titanic-victim/h-lee.html",NA,NA,NA,"Victim","LEE, Mr H.
",18
"231","MaMa","Hanna Mika'il","Mr","18","3rd Class Passenger","2677",7,4,NA,7.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/hanna-mamee.html",NA,NA,"15","Victim","MaMa, Mr Hanna Mika'il
",18
"232","MARVIN","Mary Graham Carmichael","Mrs","18","1st Class Passenger","113773",53,2,NA,53.1,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-marvin.html","https://www.encyclopedia-titanica.org/images/marvin_dw2.jpg","M. Marvin","10","Victim","MARVIN, Mrs Mary Graham Carmichael
",18
"233","MARVIN","Daniel Warner","Mr","18","1st Class Passenger","113773",53,2,NA,53.1,"Southampton","Of Independent Means","https://www.encyclopedia-titanica.org/titanic-victim/daniel-warner-marvin.html","https://www.encyclopedia-titanica.org/images/marvin_dw.jpg","D. Marvin",NA,"Victim","MARVIN, Mr Daniel Warner
",18
"234","MULLIN","Mary","Miss","18","3rd Class Passenger","370371",15,10,NA,15.5,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-victim/mary-lennon-mullin.html",NA,NA,NA,"Victim","MULLIN, Miss Mary
",18
"235","MURPHY","Catherine ","Miss","18","3rd Class Passenger","367230",15,10,NA,15.5,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/catherine-kate-murphy.html",NA,NA,"16","Victim","MURPHY, Miss Catherine 
",18
"236","MYHRMAN","Pehr Fabian Oliver Malkolm","Mr","18","3rd Class Passenger","347078",7,15,NA,7.75,"Southampton","Clerk","https://www.encyclopedia-titanica.org/titanic-victim/pehr-fabian-oliver-malkolm-myhrman.html","https://www.encyclopedia-titanica.org/files/1/thumbnails/per_fabian_oliver_malkolm_myhrman_1_9976.jpg","P. Myhrman",NA,"Victim","MYHRMAN, Mr Pehr Fabian Oliver Malkolm
",18
"237","NILSSON","Berta Olivia","Miss","18","3rd Class Passenger","347066",7,15,NA,7.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/berta-olivia-nilsson.html",NA,NA,"D","Victim","NILSSON, Miss Berta Olivia
",18
"238","O'CONNELL","Patrick Denis","Mr","18","3rd Class Passenger","334912",7,14,NA,7.7,"Queenstown","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/patrick-denis-oconnell.html",NA,NA,NA,"Victim","O'CONNELL, Mr Patrick Denis
",18
"239","PARSONS","Richard Henry","Mr","18","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Saloon Steward (2nd class)","https://www.encyclopedia-titanica.org/titanic-victim/richard-parsons.html","https://www.encyclopedia-titanica.org/files/1/richard-parsons-2-thm.jpg","R. Parsons",NA,"Victim","PARSONS, Mr Richard Henry
",18
"240","PETTERSSON","Elin Natalia","Miss","18","3rd Class Passenger","347087",7,15,NA,7.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/ellen-natalia-pettersson.html",NA,NA,NA,"Victim","PETTERSSON, Miss Elin Natalia
",18
"241","PLATT","Wilfred George","Mr","18","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Scullion","https://www.encyclopedia-titanica.org/titanic-victim/w-platt.html",NA,NA,NA,"Victim","PLATT, Mr Wilfred George
",18
"242","REED","James George","Mr","18","3rd Class Passenger","362316",7,5,NA,7.25,"Southampton","Butcher","https://www.encyclopedia-titanica.org/titanic-victim/james-george-reed.html",NA,NA,NA,"Victim","REED, Mr James George
",18
"243","ROGERS","Reginald Harry","Mr","18","2nd Class Passenger","28004",10,10,NA,10.5,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/reginald-harry-rogers.html",NA,NA,NA,"Victim","ROGERS, Mr Reginald Harry
",18
"244","ROSBLOM","Viktor Richard","Mr","18","3rd Class Passenger","370129",20,4,NA,20.2,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/viktor-richard-rosblom.html",NA,NA,NA,"Victim","ROSBLOM, Mr Viktor Richard
",18
"245","RYERSON","Emily Borie","Miss","18","1st Class Passenger","17608",262,7,NA,262.35,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/emily-borie-ryerson.html",NA,NA,"4","Victim","RYERSON, Miss Emily Borie
",18
"246","SAGE","Douglas Bullen","Mr","18","3rd Class Passenger","2343",69,11,NA,69.55,"Southampton","Baker","https://www.encyclopedia-titanica.org/titanic-victim/douglas-bullen-sage.html",NA,NA,NA,"Victim","SAGE, Mr Douglas Bullen
",18
"247","SJöBLOM","Anna Sofia","Miss","18","3rd Class Passenger","3101265",6,9,NA,6.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/anna-sofia-sjoblom.html",NA,NA,"16","Victim","SJöBLOM, Miss Anna Sofia
",18
"248","SMITH","Mary Eloise","Mrs","18","1st Class Passenger","13695",60,NA,NA,60,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/mary-eloise-smith.html","https://www.encyclopedia-titanica.org/images/smith_lp2.jpg","M. Smith","6","Victim","SMITH, Mrs Mary Eloise
",18
"249","SMYTH","Julia","Miss","18","3rd Class Passenger","335432",7,14,NA,7.7,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/julia-smyth.html",NA,NA,"13","Victim","SMYTH, Miss Julia
",18
"250","TAUSSIG","Ruth","Miss","18","1st Class Passenger","110413",79,13,NA,79.65,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/ruth-taussig.html",NA,NA,"8","Victim","TAUSSIG, Miss Ruth
",18
"251","TURJA","Anna Sofia","Miss","18","3rd Class Passenger","4138",9,16,NA,9.8,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/anna-sofia-turja.html","https://www.encyclopedia-titanica.org/images/aturja2_100.jpg","A. Turja","15","Victim","TURJA, Miss Anna Sofia
",18
"252","VANDERPLANCKE","Augusta Maria","Miss","18","3rd Class Passenger","345764",18,NA,NA,18,"Southampton","Servant","https://www.encyclopedia-titanica.org/titanic-victim/augusta-maria-vanderplancke.html",NA,NA,NA,"Victim","VANDERPLANCKE, Miss Augusta Maria
",18
"253","WHITELEY","Thomas Arthur","Mr","18","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Saloon Steward","https://www.encyclopedia-titanica.org/titanic-survivor/thomas-whiteley.html","https://www.encyclopedia-titanica.org/images/whitley_thm.jpg","T. Whiteley",NA,"Victim","WHITELEY, Mr Thomas Arthur
",18
"254","WIKLUND","Jakob Alfred","Mr","18","3rd Class Passenger","3101267",6,9,NA,6.45,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/jakob-alfred-wiklund.html",NA,NA,"[314]","Victim","WIKLUND, Mr Jakob Alfred
",18
"255","ABRAHAMSSON","Abraham August Johannes","Mr","19","3rd Class Passenger","3101284",7,18,NA,7.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/august-abrahamsson.html",NA,NA,"15","Survivor","ABRAHAMSSON, Mr Abraham August Johannes
",19
"256","AL-MUNà","Farid Husayn Qasim","Mr","19","3rd Class Passenger","2700",7,4,NA,7.2,"Cherbourg","Farmer","https://www.encyclopedia-titanica.org/titanic-victim/fared-kassem-houssein.html",NA,NA,NA,"Survivor","AL-MUNà, Mr Farid Husayn Qasim
",19
"257","ALHOMäKI","Ilmari Rudolf","Mr","19","3rd Class Passenger","3101287",7,18,NA,7.9,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/ilmari-rudolf-alhomaki.html",NA,NA,NA,"Survivor","ALHOMäKI, Mr Ilmari Rudolf
",19
"258","ANDERSEN-JENSEN","Carla Christine Nielsine","Miss","19","3rd Class Passenger","350046",7,17,NA,7.85,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/carla-jensen.html",NA,NA,"16","Survivor","ANDERSEN-JENSEN, Miss Carla Christine Nielsine
",19
"259","ANDREWS","Charles Edward","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Saloon Steward (2nd class)","https://www.encyclopedia-titanica.org/titanic-survivor/charles-edward-andrews.html","https://www.encyclopedia-titanica.org/images/andrews_c.jpg","C. Andrews","16","Survivor","ANDREWS, Mr Charles Edward
",19
"260","BARKER","Albert Vale","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Baker","https://www.encyclopedia-titanica.org/titanic-victim/albert-vale-barker.html",NA,NA,NA,"Survivor","BARKER, Mr Albert Vale
",19
"261","BEERE","William","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Kitchen Porter","https://www.encyclopedia-titanica.org/titanic-victim/william-beere.html","https://www.encyclopedia-titanica.org/files/1/thumbnails/william_beere_1_19474.jpg","W. Beere",NA,"Survivor","BEERE, Mr William
",19
"262","BENTHAM","Lillian W.","Miss","19","2nd Class Passenger","28404",13,NA,NA,13,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/lillian-bentham.html",NA,NA,"12","Survivor","BENTHAM, Miss Lillian W.
",19
"263","BISHOP","Helen","Mrs","19","1st Class Passenger","11967",91,1,NA,91.05,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/helen-bishop.html","https://www.encyclopedia-titanica.org/images/bishop_dh2.jpg","H. Bishop","7","Survivor","BISHOP, Mrs Helen
",19
"264","BURKE","Jeremiah","Mr","19","3rd Class Passenger","365222",6,15,NA,6.75,"Queenstown","Farm Labourer","https://www.encyclopedia-titanica.org/titanic-victim/jeremiah-burke.html",NA,NA,NA,"Survivor","BURKE, Mr Jeremiah
",19
"265","CARBINES","William","Mr","19","2nd Class Passenger","28424",13,NA,NA,13,"Southampton","Miner","https://www.encyclopedia-titanica.org/titanic-victim/william-carbines.html","https://www.encyclopedia-titanica.org/files/1/thumbnails/william_carbines__1_4691.jpg","W. Carbines","[18]","Survivor","CARBINES, Mr William
",19
"266","COR","Liudevit","Mr","19","3rd Class Passenger","349231",7,17,NA,7.85,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/liudevit-cor.html",NA,NA,NA,"Survivor","COR, Mr Liudevit
",19
"267","CORNAIRE","Marcel Raymond André","Mr","19","Restaurant Staff",NA,NA,NA,NA,NA,"Southampton","Assistant Roast Cook","https://www.encyclopedia-titanica.org/titanic-victim/marcel-raymond-andre-cornaire.html",NA,NA,NA,"Survivor","CORNAIRE, Mr Marcel Raymond André
",19
"268","DAKIC","Branko","Mr","19","3rd Class Passenger","349228",10,3,NA,10.15,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/branko-dakic.html",NA,NA,NA,"Survivor","DAKIC, Mr Branko
",19
"269","DAVIES","Charles Henry","Mr","19","2nd Class Passenger","14879",73,10,NA,73.5,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/charles-henry-davies.html",NA,NA,NA,"Survivor","DAVIES, Mr Charles Henry
",19
"270","DEAN","George Fox Hopkins","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Assistant Saloon Steward","https://www.encyclopedia-titanica.org/titanic-victim/george-dean.html",NA,NA,"[252]","Survivor","DEAN, Mr George Fox Hopkins
",19
"271","DEVANEY","Margaret Delia","Miss","19","3rd Class Passenger","330958",7,17,NA,7.85,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/margaret-devaney.html","https://www.encyclopedia-titanica.org/images/devaney_m.jpg","M. Devaney","C","Survivor","DEVANEY, Miss Margaret Delia
",19
"272","FEI","Carlo","Sig.","19","Restaurant Staff",NA,NA,NA,NA,NA,"Southampton","Scullion","https://www.encyclopedia-titanica.org/titanic-victim/carlo-fey.html",NA,NA,NA,"Survivor","FEI, Sig. Carlo
",19
"273","FINCH","Henry Herman","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Steward (3rd Class)","https://www.encyclopedia-titanica.org/titanic-victim/harry-finch.html",NA,NA,NA,"Survivor","FINCH, Mr Henry Herman
",19
"274","FOLEY","Joseph","Mr","19","3rd Class Passenger","330910",7,17,NA,7.85,"Queenstown","Farm Labourer","https://www.encyclopedia-titanica.org/titanic-victim/joseph-foley.html",NA,NA,NA,"Survivor","FOLEY, Mr Joseph
",19
"275","FORTUNE","Charles Alexander","Mr","19","1st Class Passenger","19950",263,NA,NA,263,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/charles-alexander-fortune.html","https://www.encyclopedia-titanica.org/images/fortune_ca_thm.jpg","C. Fortune",NA,"Survivor","FORTUNE, Mr Charles Alexander
",19
"276","GASKELL","William Alfred","Mr","19","2nd Class Passenger","239865",26,NA,NA,26,"Southampton","Cooper","https://www.encyclopedia-titanica.org/titanic-victim/alfred-gaskell.html",NA,NA,NA,"Survivor","GASKELL, Mr William Alfred
",19
"277","GILES","Edgar","Mr","19","2nd Class Passenger","28133",11,10,NA,11.5,"Southampton","Cab Driver","https://www.encyclopedia-titanica.org/titanic-victim/edgar-giles.html",NA,NA,NA,"Survivor","GILES, Mr Edgar
",19
"278","GRAHAM","Margaret Edith","Miss","19","1st Class Passenger","17582",153,9,NA,153.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/margaret-edith-graham.html","https://www.encyclopedia-titanica.org/images/margaret_graham_moore_thm.jpg","M. Graham","3","Survivor","GRAHAM, Miss Margaret Edith
",19
"279","GUSTAFSSON","Alfred Ossian","Mr","19","3rd Class Passenger","7534",9,16,NA,9.8,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/alfred-ossian-gustafsson.html",NA,NA,NA,"Survivor","GUSTAFSSON, Mr Alfred Ossian
",19
"280","GUSTAFSSON","Karl Gideon","Mr","19","3rd Class Passenger","347069",7,15,NA,7.75,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/karl-gideon-gustafsson.html",NA,NA,NA,"Survivor","GUSTAFSSON, Mr Karl Gideon
",19
"281","HAGLAND","Konrad Mathias Reiersen","Mr","19","3rd Class Passenger","65304",6,19,NA,6.95,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/konrad-hagland.html",NA,NA,NA,"Survivor","HAGLAND, Mr Konrad Mathias Reiersen
",19
"282","HAMPE","Léon Jérome","Mr","19","3rd Class Passenger","345769",9,10,NA,9.5,"Southampton","Painter & Decorator","https://www.encyclopedia-titanica.org/titanic-victim/leon-jerome-hampe.html",NA,NA,NA,"Survivor","HAMPE, Mr Léon Jérome
",19
"283","HARRIS","Charles William","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Saloon Steward (2nd class)","https://www.encyclopedia-titanica.org/titanic-victim/charles-william-harris.html",NA,NA,NA,"Survivor","HARRIS, Mr Charles William
",19
"284","HOARE","Leonard James","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Belfast","Saloon Steward","https://www.encyclopedia-titanica.org/titanic-victim/leonard-james-hoare.html",NA,NA,NA,"Survivor","HOARE, Mr Leonard James
",19
"285","HYLAND","James Leo","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Steward (3rd Class)","https://www.encyclopedia-titanica.org/titanic-survivor/leo-james-hyland.html","https://www.encyclopedia-titanica.org/files/1/leo-james-hyland.jpg","J. Hyland","11","Survivor","HYLAND, Mr James Leo
",19
"286","INGRAM","George","Mr","19","Engineering Crew",NA,NA,NA,NA,NA,"Southampton","Trimmer","https://www.encyclopedia-titanica.org/titanic-victim/charles-ingram.html",NA,NA,"[204]","Survivor","INGRAM, Mr George
",19
"287","JABBUR (ZABOUR)","Thamine","Miss","19","3rd Class Passenger","2665",14,9,NA,14.45,"Cherbourg","Housekeeper","https://www.encyclopedia-titanica.org/titanic-victim/thamine-jabbur-zabour.html",NA,NA,NA,"Survivor","JABBUR (ZABOUR), Miss Thamine
",19
"288","JOHNSON","William Cahoone Jr.","Mr","19","3rd Class Passenger","370160",NA,NA,NA,NA,"Southampton","Seaman","https://www.encyclopedia-titanica.org/titanic-victim/william-cahoone-johnson.html",NA,NA,NA,"Survivor","JOHNSON, Mr William Cahoone Jr.
",19
"289","KATAVELOS","Vasilios G.","Mr","19","3rd Class Passenger","2682",7,4,NA,7.2,"Cherbourg","Farmer","https://www.encyclopedia-titanica.org/titanic-victim/vasilios-katavelos.html",NA,NA,"[58]","Survivor","KATAVELOS, Mr Vasilios G.
",19
"290","KELLY","James","Mr","19","3rd Class Passenger","363592",8,1,NA,8.05,"Southampton","Painter & Decorator","https://www.encyclopedia-titanica.org/titanic-victim/james-kelly.html",NA,NA,NA,"Survivor","KELLY, Mr James
",19
"291","LOCKYER","Edward Thomas","Mr","19","3rd Class Passenger","1222",7,17,NA,7.85,"Southampton","Grocers Assistant","https://www.encyclopedia-titanica.org/titanic-victim/edward-thomas-lockyer.html",NA,NA,"[153]","Survivor","LOCKYER, Mr Edward Thomas
",19
"292","MCCORMACK","Thomas Joseph","Mr","19","3rd Class Passenger","367228",7,15,NA,7.75,"Queenstown","Barman","https://www.encyclopedia-titanica.org/titanic-survivor/thomas-joseph-mccormack.html",NA,NA,NA,"Survivor","MCCORMACK, Mr Thomas Joseph
",19
"293","MCMAHON","Martin","Mr","19","3rd Class Passenger","370372",7,15,NA,7.75,"Queenstown","Farm Labourer","https://www.encyclopedia-titanica.org/titanic-victim/martin-mcmahon.html",NA,NA,NA,"Survivor","MCMAHON, Mr Martin
",19
"294","MCNAMEE","Eileen","Mrs","19","3rd Class Passenger","376566",16,2,NA,16.1,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/eileen-mcnamee.html","https://www.encyclopedia-titanica.org/files/1/eileen-mcnamee_thm.jpg","E. McNamee","[53]","Survivor","MCNAMEE, Mrs Eileen
",19
"295","MELLORS","William John","Mr","19","2nd Class Passenger","SW/PP 751",10,10,NA,10.5,"Southampton","Salesman","https://www.encyclopedia-titanica.org/titanic-survivor/william-mellors.html","https://www.encyclopedia-titanica.org/images/mellors_art_100.jpg","W. Mellors","A","Survivor","MELLORS, Mr William John
",19
"296","MITCHELL","Lorenzo Horace","Mr","19","Engineering Crew",NA,NA,NA,NA,NA,"Southampton","Trimmer","https://www.encyclopedia-titanica.org/titanic-victim/lawrence-mitchell.html",NA,NA,NA,"Survivor","MITCHELL, Mr Lorenzo Horace
",19
"297","MOORE","Leonard Charles","Mr","19","3rd Class Passenger","54510",8,1,NA,8.05,"Southampton","Bricklayer","https://www.encyclopedia-titanica.org/titanic-victim/leonard-charles-moore.html",NA,NA,NA,"Survivor","MOORE, Mr Leonard Charles
",19
"298","NAKID","Wadi'ah ","Mrs","19","3rd Class Passenger","2653",15,14,NA,15.7,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/waika-mary-nakid.html",NA,NA,"C","Survivor","NAKID, Mrs Wadi'ah 
",19
"299","NEWSOM","Helen Monypeny","Miss","19","1st Class Passenger","11752",26,5,NA,26.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/helen-monypeny-newsom.html",NA,NA,"5","Survivor","NEWSOM, Miss Helen Monypeny
",19
"300","NICHOLLS","Joseph Charles","Mr","19","2nd Class Passenger","33112",36,15,NA,36.75,"Southampton","Miner","https://www.encyclopedia-titanica.org/titanic-victim/joseph-charles-nicholls.html",NA,NA,"[101]","Survivor","NICHOLLS, Mr Joseph Charles
",19
"301","PACHERA","Jean Baptiste Stanislas","Sig.","19","Restaurant Staff",NA,NA,NA,NA,NA,"Southampton","Assistant Larder Cook","https://www.encyclopedia-titanica.org/titanic-victim/jean-baptiste-stanislas-pachera.html","https://www.encyclopedia-titanica.org/images/pachera_thm.jpg","J. Pachera",NA,"Survivor","PACHERA, Sig. Jean Baptiste Stanislas
",19
"302","PERRY","Edgar Lionel","Mr","19","Engineering Crew",NA,NA,NA,NA,NA,"Southampton","Trimmer","https://www.encyclopedia-titanica.org/titanic-survivor/edgar-lionel-perry.html","https://www.encyclopedia-titanica.org/files/1/perry-edgar_thm.jpg","E. Perry",NA,"Survivor","PERRY, Mr Edgar Lionel
",19
"303","PETROFF","Nedialco","Mr","19","3rd Class Passenger","349212",7,17,NA,7.85,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/nedialco-petroff.html",NA,NA,NA,"Survivor","PETROFF, Mr Nedialco
",19
"304","PHILLIPS","Kate Florence","Miss","19","2nd Class Passenger","250655",26,NA,NA,26,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/kate-phillips.html","https://www.encyclopedia-titanica.org/images/phillips_ellen_100.jpg","K. Phillips","11","Survivor","PHILLIPS, Miss Kate Florence
",19
"305","RICE","Percy","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","3rd Class Steward","https://www.encyclopedia-titanica.org/titanic-victim/percy-rice.html",NA,NA,NA,"Survivor","RICE, Mr Percy
",19
"306","ROBERTON","George Edward","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Assistant Saloon Steward (2nd Class)","https://www.encyclopedia-titanica.org/titanic-victim/george-edward-roberton.html","https://www.encyclopedia-titanica.org/images/roberton_100.jpg","G. Roberton","[127]","Survivor","ROBERTON, Mr George Edward
",19
"307","SADLIER","Matthew","Mr","19","3rd Class Passenger","367655",7,14,NA,7.7,"Queenstown","Farm Labourer","https://www.encyclopedia-titanica.org/titanic-victim/matthew-sadlier.html",NA,NA,NA,"Survivor","SADLIER, Mr Matthew
",19
"308","SAGE","George John","Mr","19","3rd Class Passenger","2343",69,11,NA,69.55,"Southampton","Barman","https://www.encyclopedia-titanica.org/titanic-victim/george-john-sage.html","https://www.encyclopedia-titanica.org/files/1/george-sage-thm.jpg","G. Sage",NA,"Survivor","SAGE, Mr George John
",19
"309","SAUNDERCOCK","William Henry","Mr","19","3rd Class Passenger","2151",8,1,NA,8.05,"Southampton","Miner","https://www.encyclopedia-titanica.org/titanic-victim/william-henry-saundercock.html",NA,NA,NA,"Survivor","SAUNDERCOCK, Mr William Henry
",19
"310","SHEDID","Daher","Mr","19","3rd Class Passenger","2698",7,4,NA,7.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-victim/daher-shedid.html",NA,NA,"[9]","Survivor","SHEDID, Mr Daher
",19
"311","SHILLABEER","Charles Frederick","Mr","19","Engineering Crew",NA,NA,NA,NA,NA,"Southampton","Trimmer","https://www.encyclopedia-titanica.org/titanic-victim/charles-frederick-shillabeer.html",NA,NA,"[195]","Survivor","SHILLABEER, Mr Charles Frederick
",19
"312","STOYTCHEFF","Ilia","Mr","19","3rd Class Passenger","349205",7,17,NA,7.85,"Southampton","General Labourer","https://www.encyclopedia-titanica.org/titanic-victim/ilia-stoytcheff.html",NA,NA,NA,"Survivor","STOYTCHEFF, Mr Ilia
",19
"313","STROUD","Edward Alfred Orlando","Mr","19","Victualling Crew",NA,NA,NA,NA,NA,"Southampton","Saloon Steward (2nd class)","https://www.encyclopedia-titanica.org/titanic-victim/edward-alfred-orlando-stroud.html",NA,NA,NA,"Survivor","STROUD, Mr Edward Alfred Orlando
",19
